clob_token_ids                                                                                                                                                           , cosine_similarity
"[""61062406867911041129444957488064832751656470638547318929199585136855635802073"",""113095434114001328719435424564843828765562067858288752999942506274129979440840""]" , 1.0
"[""58154647293006580716141871248720424670235954918002758656321872037220737257758"",""50135182273376738494592908468512341110019005877557465082651031108169932588157""]"  , 1.0
"[""5183629642355856257561703982960118472094955906194089635434266589912605184"",""91709160442132245180652260604072518747898483014643701534916762303378673963746""]"      , 1.0
"[""98002765775330086070478182085714579208469600165899054097501550143667592442866"",""103630650917307503698963622395828330467991933205453894853273488063991812250478""]" , 1.0
"[""27236599830419042459739189692977369938120329479283247973485232547052692856847"",""104756002746274813097908008371030915295278685575694517980349136199295027747814""]" , 1.0
"[""33617205645128376601336069985822617926204609176653504624245354246495590683543"",""113717159967689119205315087703899379562662172872961390366089703048777168640204""]" , 1.0
"[""17682183447223123479988952873452690236608652508609100470364905844731048770925"",""23075036871051292036633100296923195842080149789926568755122365949307390731298""]"  , 1.0
"[""33955188520896833048115959811816549716866192906937688660205174290095294083363"",""20423362327975461844489534239312100383284255615268693304859555284041698365194""]"  , 1.0
"[""91138480709591054759767409217436354075749085240127320989878540960823383169009"",""46436722929429584606214814236634209727776008368540318931103300197181790642253""]"  , 1.0
"[""32161261864871367449566196372714511439634342487925992331893774899150642704896"",""53862259632006634338575896552672001825217702096775660068321813918458831775735""]"  , 1.0
"[""37581857571278549929583416545213040873756367879498519283101589865454424535669"",""82339693482931683224665143588191757138589623524928563567835537814840887050212""]"  , 1.0
"[""64148512112489084112451151765903707162507782708410007283939617467890514179860"",""16095154797691860448366832759498590216390758231411380641868336305398630065997""]"  , 0.8422012011083723
"[""48384548550416081083219762303489869221179816160142225918402191735062988073423"",""14413883091299906639241111385083396484100844026509209324426282356642222396920""]"  , 1.0
"[""12009573536279142057571487932462564153002552119541567813835824323041044012788"",""1097910432674076314634317078828373054773638288659142840893879897846713528291""]"   , 1.0
"[""67226841869259679110998585988135219311381991188195837616892544976456586284316"",""40192538440058114766661925109838206305686823055443756428707822115529043190046""]"  , 0.8737653062215437
"[""15345016576240767802344040184241719541187802815485829163960542817468113200300"",""102632707123612580840780626053354248678088409090427944488143544063548021640765""]" , 0.840311191578454
"[""24814611013740858013254881191810925096165203709772711706276380638259291205267"",""86017103305458811935514526036626695507764469734615232314648446580646411283490""]"  , 1.0
"[""49521283066549759553126155119939822308512842480093909058077969314905636908763"",""41904930467890002104102547531145137896685180540754925696113055154958156775097""]"  , 1.0
"[""101280545252230196709612662547351193401671211615292361472169809939383373102347"",""107720087367940103541883960733608217849288692534954219144124233550857027122534""]", 1.0
"[""44989796799450122753294145450138423493021416078028303440920891030439679720866"",""81818323450730610264892638688318106086424908386232101524150094570570353054676""]"  , 1.0
"[""32766117876773578086228958505767356147117667994209144188269185689815069579493"",""16287140029223092815722155834448357795436639278741898321047374360284247168988""]"  , 1.0
"[""2146994180335778911136867024022848832785672199494489252305654724747638722693"",""42404736617485895513697018962137531240777619866727320158233039232232935344615""]"   , 1.0
"[""35449703116970698626507177190542980840591930570901095629807032093825812213362"",""115153721002144497919613963721877732580096940650923001260623634281032531407490""]" , 1.0
"[""33272914809990887519107626049919131188360396856128100776872991038966141648636"",""32964855625169270870128270467305892234527635817903599885473920709550607007855""]"  , 1.0
"[""111083843407588818974987968798194398596862646264703099996147106073275433954616"",""75383017079212615135163315761491819363199826765689932549298225906198715638786""]" , 1.0
"[""18110271269770446662093607657620765887625561126480615305353935814650089026376"",""5295580220947120328150158747575239019893493074203148492611548291720410401240""]"   , 1.0
"[""47443648746509314273662979353101187164858778133270672402070484746778202266944"",""37952613251824029374181263020398924507665841525258320544643531481182094616453""]"  , 1.0
"[""104352791795388489272886032039636470405798467845292751379352945035863179822868"",""62724005272058870663037784817549382688179525458624373179402587512058991252209""]" , 1.0
"[""95938878034104613274319804638847148637449931853175584389578101395873480409785"",""32861354790050673614552131557549041864389518581884074157448785947617006613443""]"  , 1.0
"[""76144670294377732667345224949065551467823748393254286915982110733281313028885"",""111342477404259588975630576834591493927716919607884045467179118470521780935265""]" , 1.0
"[""13254551244767454984297498234050596657000593078832008228963914384868983573792"",""68601199473793017390173957677491346534502249697547925788736728051816319574146""]"  , 1.0
"[""49561959338302473886612575175427477510255383414858238713973065702657636650622"",""9250462375315048491885093646762352357277516991621013015624169028220369869617""]"   , 1.0
"[""13366119493088122653773296634379760186772580010327639155931899184255189238566"",""97427471060903604102087376481626757897066590968372860894244459592227765314300""]"  , 1.0
"[""93443136251254610808247783030421743520124717118274894264256412058354991568188"",""60029484734233553194506037745651856864417320696406975013952838540565175267936""]"  , 1.0
"[""65782565081800794552103920767141063366982223121336818252099218435663588796053"",""16034200414592335178953587273020972501074315333548314355930863944035526159759""]"  , 1.0
"[""108594598406237715382258128225469166226804605553423381561805234838860013221643"",""76061779226277567937136002875366254933725855782474453981229624907955267874957""]" , 1.0
"[""57183160858289786175926294655907942210215921501992035952262533576686097730156"",""23527488931458270373542522838879642337196546203685403538870425011196572389776""]"  , 0.39132087829164575
"[""25105701612578367852478363549440297374045472395304402403050745837553774041489"",""37390603868701257789953657246244101397036843556937927562438791689985980775241""]"  , 0.9052949503949832
